Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1426139	0.0720185643978981	0.0763699204718241	0.140000575251125	0.0870352828689755	0	0.186925113828293	0	0	0	0	0.0996174632850137	0	0.0257765237271053	0.0947091956968198	0.0134439970357503	0	0	0.0211558517424276	0.00146264069885978	0.08377536478919	0	0.0977095062067177	9999	0.458710064532793	0.887736073083052
GSM1426140	0.115554478062548	0.174574922679707	0.12660323309286	0.125413271686307	0	0.130464784812025	0	0.0396805202554269	0.00842068741328601	0	0.0801957958610912	0	0.00898364230699211	0.081863363185161	0.00632275554061896	0	0	0.0496810800067087	0	0.0297859304753773	0	0.022455534621891	9999	0.532457305922668	0.846001826561132
GSM1426141	0	0.0237067371098141	0.234196191919365	0.20626572918072	0	0.149549485440158	0.0176595545452611	0	0.0194326700179394	0	0.0582239928048095	0	0.0380640942366502	0.0833560347664566	0.0331476225896493	0.0275304504752473	0	0.0453889186253942	0.0634785182885354	0	0	0	9999	0.284856716268983	0.976248342658484
GSM1426142	0.0185311475461644	0.0852618510725232	0.1215167658102	0.0128937353319121	0	0.150594430185199	0.00642767760481064	0.0124691561602606	0	0	0.0946796193070129	0	0	0.154018968236626	0.00976249810440338	0.0115042261546029	0	0.0501939541180701	0	0.109671957182944	0	0.162474013185271	9999	0.518891731644911	0.856754783006038
GSM1426143	0	0.0717936626569504	0.142913554408853	0.321922078136956	0	0	0	0.00886822266624588	0.154946240209608	0	0.0667858111960958	0.0417318857393652	0.102923115605666	0.0799549642428846	0	0	0	0.00816046513737508	0	0	0	0	9999	0.0737404497444754	1.08506468755981
GSM1426144	0.091869325644013	0.138616271652393	0.14897552679828	0.15696511365821	0	0.00840150299083452	0	0.0600312480848953	0.0459397260454757	0	0.123028515787422	0	0.0162470443347175	0.067077184424026	0.0183504540574537	0	0	0.0675593788493212	0	0.0569387076729583	0	0	9999	0.30788917521537	0.969538520935521
GSM1426145	0.0316402561987139	0.109187458853146	0.132273666351594	0.257659985297187	0	0.019190432972908	0.00799076114425573	0	0.0374425389993697	0	0.0840004784035002	0	0.0423113767676863	0.133753979893101	0.0783294922186591	0.0147152780204038	0	0.0454793066967032	0.00274668694290394	0.00327830123986884	0	0	9999	0.446326784621595	0.894469353814831
GSM1426146	0.0270324088998966	0.14744727627118	0.202263177048018	0.115103838298804	0	0.118462989793988	0.0199470419837527	0.0198716156191347	0	0	0.0979483172804708	0	0.0240100162034792	0.0348309562579033	0.0689239052739212	0	0	0.0631214276561519	0	0.0303065388807373	0	0.0307304905325628	9999	0.482474564187536	0.875417403136328
GSM1426147	0	0.0627698707474245	0.239598425028327	0.149838556259251	0	0.0983844807231916	0.00171255910700344	0	0.0286551227644663	0	0.0608224549510775	0	0.0150077856229885	0.129327915804001	0.0416034560104456	0.0111954856862858	0	0.0161635084929798	0.0972684570194824	0	0	0.0476519217830748	9999	0.42726671874949	0.904486331877645
GSM1426148	0	0.0221585104366495	0.122065002682878	0.43398712207784	0	0	0	0.00286426632001036	0.12434706183329	0	0	0.0659044651396334	0.0558745089368687	0.113849665285529	0	0	0	0.0182134998787581	0.0407358974085424	0	0	0	9999	0.101440806035793	1.07348174291023
GSM1426149	0	0.038073549020007	0.299164995292656	0.165935543116348	0	0.140808257615279	0	0	0.0581510584492704	0	0.0423693403247083	0.000679976469982843	0.0597205417542036	0.135621634911895	0.00742914744269863	0.0196146862826864	0	0.0175715017672276	0.00407283337747902	0.0107869341755594	0	0	9999	0.289271389299751	0.985515828062562
GSM1426150	0.280004935551197	0.0607290066820294	0.057277225720963	0.11305670127395	0	0.112093859085809	0.00531856479342912	0.036543565564725	0.0254660306287008	0	0.0797803956115525	0	0.0135340731646877	0.104478490260104	0.00633745926376681	0.0216828958714093	0	0.0576333402338736	0	0.0260634562938022	0	0	9999	0.517827063051566	0.854857405394373
GSM1426151	0.157494970289889	0.0943103259188846	0.136669821541595	0.243310283733673	0	0.036957621830726	0.0055950048917375	0	0.0815520640332704	0	0.0691769097520093	0	0.0143242278043838	0.0404031695188717	0.0275929438632005	0.00935683974528847	0	0.0384322198489336	0	0.0448235972275371	0	0	9999	0.327581683512058	0.962711433853199
GSM1426152	0.172349151746751	0.0925791346197746	0.0975789701063394	0.0977443424387063	0	0.188469218092449	0.0161718700446923	0.0314030024519879	0	0	0.0541404952809996	0	0.00209818695503079	0.0829984380496288	0.0615468159473437	0.0494791093798669	0	0.0330315486285122	0	0.0204097162579184	0	0	9999	0.528400796947089	0.849615196322051
GSM1426153	0	0.0572840512101836	0.130594729892826	0.103601577429968	0	0.122640869677125	0.0433632367918066	0	0.0157324512389629	0	0.0731903980672775	0	0.016987844647054	0.183573726646481	0.164523834406092	0.0281679474235915	0	0	0.0355817889718601	0	0	0.0247575435967724	9999	0.409966392123019	0.912996250540559
GSM1426154	0.161651373557877	0.119466312184622	0.113453955592972	0.0784587060943066	0	0.135576421832571	0.0167926124556164	0	0	0	0.106650030283071	0	0.0107838993032589	0.0926877054958124	0.0809326757258357	0.0249880225702145	0	0.0187936553696654	0.000343970699241355	0.0168657802524613	0	0.0225548785824755	9999	0.463910294881131	0.885577875013966
GSM1426155	0	0.0719774737254051	0.145701965668642	0.246996432989678	0	0	0	0	0.0726234720164778	0	0.00638295227164051	0.0744723190723854	0.048540993786676	0.146475023300449	0.0182521463467163	0.0123817852560864	0	0.033040030973061	0.123155404592783	0	0	0	9999	0.0990180541399971	1.05142809137757
GSM1426156	0.0243548818511599	0.089775717659109	0.12984092733184	0.0456589955547406	0	0.138588373996428	0.00200618132231994	0	0	0	0.0289521419578286	0	0.00320009434145222	0.0945738906567384	0.0350269464970014	0	0	0.0515872090957714	0	0.1342692560233	0	0.22216538371231	9999	0.197156101947553	1.01861415286839
GSM1426157	0.0195073633558016	0.054726406963484	0.16341561589255	0.186435293791567	0	0	0	0.032399770904174	0.0320007264785715	0	0.0426982984888387	0.0503221167149463	0.0864861658694841	0.181920118630038	0.0205331667241558	0.00141030718034744	0	0	0.128144649006042	0	0	0	9999	0.097311125588099	1.05145259171658
GSM1426158	0	0.0394828223172417	0.0681955635742847	0.0240789565056987	0	0.146146870317942	0.019295550526709	0.00708905700078162	0	0	0.0669844081739913	0	0.0559035610357324	0.103700027478519	0.0375007290795861	0	0	0.141882014124464	0	0.0807654127667671	0	0.208975027098282	9999	0.483986561685338	0.874838089435781
GSM1426159	0.0232568414732477	0.137549081912307	0.270571045225511	0.178651450881205	0	0.110737270726526	0	0	0	0	0.0857069680291926	0	0.0150337246687715	0.0316591751231459	0.0568992243052406	0.00699206149496732	0	0.0372397777957027	0	0.0316257239795855	0	0.0140776543845969	9999	0.558043236197959	0.82902641046985
GSM1426160	0.0660464057017548	0.0591507196390078	0.092331643709121	0.058565601420739	0	0.157950258894727	0.00486880121255599	0	0	0	0.111245354489216	0	0.00305338891367563	0.157242519754694	0.0206155182155704	0	0	0.0538813706871173	0	0.146453368693463	0	0.068595048668358	9999	0.436997432092954	0.898657810979852
GSM1426161	0.0164518249845855	0	0.185611488869311	0.25741934110344	0	0.0775548581842395	0	0	0.0719303575312515	0	0.0890428322852216	0	0.0191228924836318	0.198944352332557	0.0210529124056311	0	0	0.0328018294198568	0	0.0300673104002744	0	0	9999	0.239122613614356	1.00025651292195
GSM1426162	0.0142861512024233	0.0459737306163618	0.189176498202369	0.0406263671062666	0	0.219908856465974	0	0	0	0	0.081370719995547	0	0.0399165067467382	0.136955540413982	0.0429797840432677	0.0193107953341754	0	0.014209023895097	0.0546423698190419	0.0467484389010529	0	0.0538952172577037	9999	0.471774188379238	0.881625585381082
GSM1426163	0	0.0596815950021962	0.221420861264929	0.1781829832335	0	0.182002978748081	0	0.00681652005836308	0	0	0.0718413632458711	0	0.017012856455029	0.158553231159973	0.0178912570766575	0.0118685868849898	0	0.0350256697789441	0	0.0205221483675024	0	0.019179948723964	9999	0.345861041660677	0.948595088172878
GSM1426164	0.0313578024475794	0.124207982111651	0.141279954391057	0.306438312368458	0	0.137800472489774	0	0.00772605683016803	0.0733300071187732	0	0.0421607813546317	0	0	0.00804924187998112	0	0.0353061671737696	0	0.00296615060595062	0	0.0766216427164501	0.0127554285117564	0	9999	0.17109469880386	1.04523337405684
GSM1426165	0.0143579656795912	0.0645459847811544	0.132949926475318	0.362121979204327	0	0	0	0.0122756362597222	0.146850104724732	0	0.00745579919476866	0.0512873033687135	0.0772573466544693	0.0527109654042959	0	0	0	0.00951658462777145	0.0686704036251364	0	0	0	9999	0.051355430730119	1.0902510854076
GSM1426166	0.0546870144995375	0.0560978355274855	0.0992141807633031	0.268762500881513	0	0	0	0.0861341908412334	0.0754077797404175	0	0.0538507383626711	0.026386850848832	0.0837901259423633	0.0785971722757814	0.0461376763304997	0	0	0.057075232607309	0.0138587013790532	0	0	0	9999	0.00514089412454968	1.09677038351354
GSM1426167	0	0.276149604087969	0.0475922845502457	0.236933200409765	0	0	0	0.0495409844239992	0.0641056987981187	0	0.0638474852481023	0	0.0575404097649757	0.0523588351893049	0.0234049002755486	0.0555868094296444	0	0.0423461751520721	0.0275731068191947	0.00302050585105904	0	0	9999	0.128079491006839	1.04718838095816
GSM1426168	0.0311725418396964	0.16590073810205	0.127395462654191	0.310507884669597	0	0	0	0	0.0945605895665279	0	0.0904082032646156	0	0.0586863408265668	0.0442921670772231	0	0.0334616432579984	0	0.0138865776369593	0	0.0297278511045736	0	0	9999	0.118636986349567	1.06512849696672
GSM1426169	0.0254966504328001	0.109340800283607	0.176465799666184	0.302497100815251	0	0.0623014770225973	0	0	0.0817383830019713	0	0.0967962903960816	0	0.0398007697646251	0.0536979669470578	0	0	0	0	0	0.0457346356548117	0.00613012601501223	0	9999	0.0959072553646689	1.08332623548513
GSM1426170	0.130810079491171	0.0537567347457009	0.105962348712064	0.301904338335458	0	0.045351177281535	0	0.00531084553889967	0.0542520157225368	0	0.109304643561458	0	0.0512278092352677	0.0210052971215219	0	0.0367971389405724	0	0.0438495634837487	0	0.0404680078300667	0	0	9999	0.0931762683682586	1.07448676152697
GSM1426171	0.0136941356965673	0.0652363351555688	0.156361216764645	0.290675866731849	0	0	0	0.0439495037304447	0.127786414653548	0	0.0939221709288542	0.0120301505295115	0.0739327734069642	0.081932745276345	0	0	0	0.00319118254449905	0.0295834146710187	0.00770408991018454	0	0	9999	0.0408689045857686	1.09500417271882
GSM1426172	0	0.0751026759444366	0.13876849975906	0.272368747196907	0	0	0	0.0531973513698456	0.0936467495254912	0	0.0386283809779211	0.0393594549931228	0.0856420701120966	0.108357109743897	0.0435751634207504	0	0	0.0360234054110682	0.015330391545403	0	0	0	9999	0.0440575836196982	1.08150551639248
GSM1426173	0	0.0926167956227459	0.191061313845204	0.300679698708833	0	0	0	0	0.085746532890766	0	0.087336849828263	0.0210273791198969	0.100007073611995	0.059512071047094	0	0	0	0.0346329900552546	0.0273792952699481	0	0	0	9999	0.0361413395978647	1.10120394348046
GSM1426174	0.00581149820113138	0.197225874448137	0.122593701463046	0.148579952702273	0	0.151335582421522	0	0.0302982206515968	0.032013532253313	0	0.103907960710896	0	0.0296320654212901	0.0166859465297726	0	0.0760054310294286	0	0.0388954042839956	0	0.0470148298835991	0	0	9999	0.199631466049149	1.01785061244119
